pincode,population,grade
122102,42068,district_apportioned
122103,42068,district_apportioned
122104,42068,district_apportioned
122105,42068,district_apportioned
122107,42068,district_apportioned
122108,42068,district_apportioned
122413,42068,district_apportioned
122414,42068,district_apportioned
122502,42068,district_apportioned
122503,42068,district_apportioned
122504,42068,district_apportioned
122505,42068,district_apportioned
122506,42068,district_apportioned
122508,42068,district_apportioned
123001,131727,district_apportioned
123021,69256,district_apportioned
123023,131727,district_apportioned
123024,131727,district_apportioned
123027,131727,district_apportioned
123028,131727,district_apportioned
123029,131727,district_apportioned
123031,131727,district_apportioned
123034,69256,district_apportioned
123035,69256,district_apportioned
123101,69256,district_apportioned
123102,69256,district_apportioned
123103,69256,district_apportioned
123106,42068,district_apportioned
123110,69256,district_apportioned
123301,69256,district_apportioned
123302,69256,district_apportioned
123303,69256,district_apportioned
123401,42068,district_apportioned
123411,69256,district_apportioned
123412,69256,district_apportioned
123501,69256,district_apportioned
124001,70747,district_apportioned
124010,70747,district_apportioned
124021,70747,district_apportioned
124022,70747,district_apportioned
124102,50442,district_apportioned
124103,50442,district_apportioned
124104,50442,district_apportioned
124105,50442,district_apportioned
124106,50442,district_apportioned
124107,50442,district_apportioned
124108,50442,district_apportioned
124109,50442,district_apportioned
124111,70747,district_apportioned
124112,70747,district_apportioned
124113,70747,district_apportioned
124141,70747,district_apportioned
124142,50442,district_apportioned
124146,50442,district_apportioned
124201,50442,district_apportioned
124202,50442,district_apportioned
124303,70747,district_apportioned
124401,70747,district_apportioned
124404,50442,district_apportioned
124406,70747,district_apportioned
124411,70747,district_apportioned
124412,70747,district_apportioned
124501,50442,district_apportioned
124504,50442,district_apportioned
124505,50442,district_apportioned
124506,50442,district_apportioned
124507,50442,district_apportioned
124508,50442,district_apportioned
124513,70747,district_apportioned
124514,70747,district_apportioned
125001,87197,district_apportioned
125004,87197,district_apportioned
125005,87197,district_apportioned
125006,87197,district_apportioned
125007,87197,district_apportioned
125011,87197,district_apportioned
125033,87197,district_apportioned
125037,87197,district_apportioned
125038,87197,district_apportioned
125039,87197,district_apportioned
125042,87197,district_apportioned
125044,87197,district_apportioned
125047,87197,district_apportioned
125048,157002,district_apportioned
125049,87197,district_apportioned
125050,157002,district_apportioned
125051,87197,district_apportioned
125052,87197,district_apportioned
125053,157002,district_apportioned
125054,86346,district_apportioned
125055,86346,district_apportioned
125056,86346,district_apportioned
125058,86346,district_apportioned
125060,86346,district_apportioned
125075,86346,district_apportioned
125076,86346,district_apportioned
125077,86346,district_apportioned
125078,86346,district_apportioned
125101,86346,district_apportioned
125102,86346,district_apportioned
125103,86346,district_apportioned
125104,86346,district_apportioned
125106,157002,district_apportioned
125110,86346,district_apportioned
125111,157002,district_apportioned
125112,87197,district_apportioned
125113,87197,district_apportioned
125120,87197,district_apportioned
125121,87197,district_apportioned
125133,157002,district_apportioned
125201,86346,district_apportioned
126101,121287,district_apportioned
126102,121287,district_apportioned
126110,121287,district_apportioned
126111,121287,district_apportioned
126112,121287,district_apportioned
126113,121287,district_apportioned
126114,121287,district_apportioned
126115,121287,district_apportioned
126116,121287,district_apportioned
126125,121287,district_apportioned
126152,121287,district_apportioned
127021,60535,district_apportioned
127022,60535,district_apportioned
127025,60535,district_apportioned
127026,60535,district_apportioned
127027,60535,district_apportioned
127028,60535,district_apportioned
127029,60535,district_apportioned
127030,60535,district_apportioned
127031,60535,district_apportioned
127032,60535,district_apportioned
127035,60535,district_apportioned
127040,60535,district_apportioned
127041,60535,district_apportioned
127042,60535,district_apportioned
127043,60535,district_apportioned
127045,60535,district_apportioned
127046,60535,district_apportioned
127111,60535,district_apportioned
127114,60535,district_apportioned
127201,60535,district_apportioned
127306,60535,district_apportioned
127307,60535,district_apportioned
127308,60535,district_apportioned
127309,60535,district_apportioned
127310,60535,district_apportioned
127311,60535,district_apportioned
127312,60535,district_apportioned
131001,65909,district_apportioned
131021,65909,district_apportioned
131022,65909,district_apportioned
131023,65909,district_apportioned
131024,65909,district_apportioned
131027,65909,district_apportioned
131028,65909,district_apportioned
131029,65909,district_apportioned
131030,65909,district_apportioned
131039,65909,district_apportioned
131101,65909,district_apportioned
131102,65909,district_apportioned
131103,65909,district_apportioned
131301,65909,district_apportioned
131302,65909,district_apportioned
131304,65909,district_apportioned
131305,65909,district_apportioned
131306,65909,district_apportioned
131402,65909,district_apportioned
131403,65909,district_apportioned
131408,65909,district_apportioned
131409,65909,district_apportioned
132001,100355,district_apportioned
132022,100355,district_apportioned
132023,100355,district_apportioned
132024,100355,district_apportioned
132036,100355,district_apportioned
132037,100355,district_apportioned
132039,100355,district_apportioned
132040,100355,district_apportioned
132041,100355,district_apportioned
132046,100355,district_apportioned
132054,100355,district_apportioned
132101,92726,district_apportioned
132102,92726,district_apportioned
132103,92726,district_apportioned
132104,92726,district_apportioned
132105,92726,district_apportioned
132106,92726,district_apportioned
132107,92726,district_apportioned
132108,92726,district_apportioned
132113,92726,district_apportioned
132114,100355,district_apportioned
132115,92726,district_apportioned
132116,100355,district_apportioned
132117,100355,district_apportioned
132122,92726,district_apportioned
132140,92726,district_apportioned
132145,92726,district_apportioned
132157,100355,district_apportioned
133001,49059,district_apportioned
133004,49059,district_apportioned
133005,49059,district_apportioned
133006,49059,district_apportioned
133008,49059,district_apportioned
133010,49059,district_apportioned
133101,49059,district_apportioned
133102,49059,district_apportioned
133103,93400,district_apportioned
133104,49059,district_apportioned
133201,49059,district_apportioned
133202,49059,district_apportioned
133203,49059,district_apportioned
133204,93400,district_apportioned
133205,49059,district_apportioned
133206,93400,district_apportioned
133207,49059,district_apportioned
133301,35081,district_apportioned
133302,35081,district_apportioned
134003,49059,district_apportioned
134005,49059,district_apportioned
134007,49059,district_apportioned
134008,49059,district_apportioned
134101,35081,district_apportioned
134102,35081,district_apportioned
134103,35081,district_apportioned
134104,35081,district_apportioned
134105,35081,district_apportioned
134107,35081,district_apportioned
134108,35081,district_apportioned
134109,35081,district_apportioned
134112,35081,district_apportioned
134113,35081,district_apportioned
134114,35081,district_apportioned
134116,35081,district_apportioned
134117,35081,district_apportioned
134118,49059,district_apportioned
134201,49059,district_apportioned
134202,49059,district_apportioned
134203,49059,district_apportioned
134204,49059,district_apportioned
134205,35081,district_apportioned
135001,93400,district_apportioned
135002,93400,district_apportioned
135003,93400,district_apportioned
135004,93400,district_apportioned
135021,93400,district_apportioned
135101,93400,district_apportioned
135102,93400,district_apportioned
135103,93400,district_apportioned
135106,93400,district_apportioned
135133,93400,district_apportioned
136020,97664,district_apportioned
136021,97664,district_apportioned
136026,97664,district_apportioned
136027,97664,district_apportioned
136030,80388,district_apportioned
136033,97664,district_apportioned
136034,97664,district_apportioned
136035,97664,district_apportioned
136038,80388,district_apportioned
136042,97664,district_apportioned
136043,97664,district_apportioned
136044,97664,district_apportioned
136117,97664,district_apportioned
136118,80388,district_apportioned
136119,80388,district_apportioned
136128,80388,district_apportioned
136129,80388,district_apportioned
136130,80388,district_apportioned
136131,80388,district_apportioned
136132,80388,district_apportioned
136135,80388,district_apportioned
136136,80388,district_apportioned
136156,80388,district_apportioned
140001,38035,district_apportioned
140101,38035,district_apportioned
140102,38035,district_apportioned
140103,45210,district_apportioned
140108,38035,district_apportioned
140109,45210,district_apportioned
140110,45210,district_apportioned
140111,38035,district_apportioned
140112,45210,district_apportioned
140113,38035,district_apportioned
140114,38035,district_apportioned
140115,38035,district_apportioned
140116,38035,district_apportioned
140117,38035,district_apportioned
140118,38035,district_apportioned
140119,38035,district_apportioned
140123,38035,district_apportioned
140124,38035,district_apportioned
140125,38035,district_apportioned
140126,38035,district_apportioned
140133,38035,district_apportioned
140201,45210,district_apportioned
140301,45210,district_apportioned
140306,45210,district_apportioned
140307,45210,district_apportioned
140308,45210,district_apportioned
140401,65368,district_apportioned
140402,65368,district_apportioned
140405,150041,district_apportioned
140406,65368,district_apportioned
140407,150041,district_apportioned
140408,150041,district_apportioned
140412,65368,district_apportioned
140413,45210,district_apportioned
140417,65368,district_apportioned
140501,45210,district_apportioned
140506,45210,district_apportioned
140507,45210,district_apportioned
140601,65368,district_apportioned
140602,65368,district_apportioned
140603,45210,district_apportioned
140604,45210,district_apportioned
140701,65368,district_apportioned
140702,65368,district_apportioned
140802,65368,district_apportioned
140901,45210,district_apportioned
141001,48594,district_apportioned
141002,48594,district_apportioned
141003,48594,district_apportioned
141004,48594,district_apportioned
141006,48594,district_apportioned
141007,48594,district_apportioned
141008,48594,district_apportioned
141010,48594,district_apportioned
141012,48594,district_apportioned
141013,48594,district_apportioned
141014,48594,district_apportioned
141015,48594,district_apportioned
141016,48594,district_apportioned
141017,48594,district_apportioned
141101,48594,district_apportioned
141102,48594,district_apportioned
141103,48594,district_apportioned
141104,48594,district_apportioned
141105,48594,district_apportioned
141106,48594,district_apportioned
141107,48594,district_apportioned
141108,48594,district_apportioned
141109,48594,district_apportioned
141110,48594,district_apportioned
141112,48594,district_apportioned
141113,48594,district_apportioned
141114,48594,district_apportioned
141115,48594,district_apportioned
141116,48594,district_apportioned
141117,48594,district_apportioned
141118,48594,district_apportioned
141119,48594,district_apportioned
141120,48594,district_apportioned
141121,48594,district_apportioned
141122,48594,district_apportioned
141123,48594,district_apportioned
141125,48594,district_apportioned
141126,48594,district_apportioned
141127,48594,district_apportioned
141201,48594,district_apportioned
141202,48594,district_apportioned
141203,48594,district_apportioned
141204,48594,district_apportioned
141205,48594,district_apportioned
141206,48594,district_apportioned
141401,48594,district_apportioned
141411,65368,district_apportioned
141412,48594,district_apportioned
141413,48594,district_apportioned
141414,48594,district_apportioned
141415,48594,district_apportioned
141416,48594,district_apportioned
141417,48594,district_apportioned
141418,48594,district_apportioned
141419,48594,district_apportioned
141421,48594,district_apportioned
141422,48594,district_apportioned
141801,65368,district_apportioned
142001,52408,district_apportioned
142002,52408,district_apportioned
142003,52408,district_apportioned
142011,52408,district_apportioned
142021,48594,district_apportioned
142022,48594,district_apportioned
142023,48594,district_apportioned
142024,48594,district_apportioned
142025,48594,district_apportioned
142026,48594,district_apportioned
142027,48594,district_apportioned
142028,48594,district_apportioned
142029,48594,district_apportioned
142030,48594,district_apportioned
142031,48594,district_apportioned
142032,48594,district_apportioned
142033,48594,district_apportioned
142034,48594,district_apportioned
142035,48594,district_apportioned
142036,48594,district_apportioned
142037,52408,district_apportioned
142038,52408,district_apportioned
142039,52408,district_apportioned
142040,52408,district_apportioned
142041,81163,district_apportioned
142042,52408,district_apportioned
142043,81163,district_apportioned
142044,81163,district_apportioned
142045,52408,district_apportioned
142046,52408,district_apportioned
142047,81163,district_apportioned
142048,52408,district_apportioned
142049,52408,district_apportioned
142050,81163,district_apportioned
142052,81163,district_apportioned
142053,52408,district_apportioned
142054,52408,district_apportioned
142055,52408,district_apportioned
142056,52408,district_apportioned
142057,52408,district_apportioned
142058,52408,district_apportioned
142060,81163,district_apportioned
143001,88952,district_apportioned
143002,88952,district_apportioned
143003,88952,district_apportioned
143005,88952,district_apportioned
143006,88952,district_apportioned
143008,88952,district_apportioned
143009,39987,district_apportioned
143022,39987,district_apportioned
143101,88952,district_apportioned
143102,88952,district_apportioned
143103,88952,district_apportioned
143105,88952,district_apportioned
143107,39987,district_apportioned
143108,88952,district_apportioned
143109,88952,district_apportioned
143111,39987,district_apportioned
143112,39987,district_apportioned
143113,88952,district_apportioned
143114,39987,district_apportioned
143115,39987,district_apportioned
143116,88952,district_apportioned
143117,39987,district_apportioned
143118,39987,district_apportioned
143119,88952,district_apportioned
143149,88952,district_apportioned
143201,88952,district_apportioned
143202,88952,district_apportioned
143203,88952,district_apportioned
143204,88952,district_apportioned
143205,88952,district_apportioned
143301,39987,district_apportioned
143302,39987,district_apportioned
143303,39987,district_apportioned
143304,39987,district_apportioned
143305,39987,district_apportioned
143401,39987,district_apportioned
143402,39987,district_apportioned
143406,39987,district_apportioned
143407,39987,district_apportioned
143408,39987,district_apportioned
143409,39987,district_apportioned
143410,39987,district_apportioned
143411,39987,district_apportioned
143412,39987,district_apportioned
143413,39987,district_apportioned
143414,88952,district_apportioned
143415,39987,district_apportioned
143416,39987,district_apportioned
143419,39987,district_apportioned
143422,39987,district_apportioned
143501,88952,district_apportioned
143502,88952,district_apportioned
143504,88952,district_apportioned
143505,88397,district_apportioned
143506,88397,district_apportioned
143507,88397,district_apportioned
143511,88397,district_apportioned
143512,88397,district_apportioned
143513,88397,district_apportioned
143514,88397,district_apportioned
143515,88397,district_apportioned
143516,88397,district_apportioned
143517,88397,district_apportioned
143518,88397,district_apportioned
143519,88397,district_apportioned
143520,88397,district_apportioned
143521,88397,district_apportioned
143525,88397,district_apportioned
143526,88397,district_apportioned
143527,88397,district_apportioned
143528,88397,district_apportioned
143529,88397,district_apportioned
143530,88397,district_apportioned
143531,88397,district_apportioned
143532,88397,district_apportioned
143533,52544,district_apportioned
143534,52544,district_apportioned
143601,88952,district_apportioned
143602,88397,district_apportioned
143603,88952,district_apportioned
143604,88397,district_apportioned
143605,88397,district_apportioned
143606,88952,district_apportioned
144001,34275,district_apportioned
144002,34275,district_apportioned
144003,34275,district_apportioned
144004,34275,district_apportioned
144005,34275,district_apportioned
144006,34275,district_apportioned
144007,34275,district_apportioned
144008,34275,district_apportioned
144009,34275,district_apportioned
144010,34275,district_apportioned
144011,34275,district_apportioned
144012,34275,district_apportioned
144020,34275,district_apportioned
144021,34275,district_apportioned
144022,34275,district_apportioned
144023,34275,district_apportioned
144024,34275,district_apportioned
144025,34275,district_apportioned
144026,34275,district_apportioned
144027,34275,district_apportioned
144028,34275,district_apportioned
144029,18555,district_apportioned
144030,34275,district_apportioned
144031,34275,district_apportioned
144032,34275,district_apportioned
144033,34275,district_apportioned
144034,34275,district_apportioned
144035,34275,district_apportioned
144036,34275,district_apportioned
144037,34275,district_apportioned
144039,34275,district_apportioned
144040,34275,district_apportioned
144041,34275,district_apportioned
144042,34275,district_apportioned
144043,34275,district_apportioned
144044,34275,district_apportioned
144101,34275,district_apportioned
144102,34275,district_apportioned
144103,34275,district_apportioned
144104,34275,district_apportioned
144105,33055,district_apportioned
144106,34275,district_apportioned
144201,34275,district_apportioned
144202,33055,district_apportioned
144204,33055,district_apportioned
144205,33055,district_apportioned
144206,33055,district_apportioned
144207,33055,district_apportioned
144208,33055,district_apportioned
144209,33055,district_apportioned
144210,33055,district_apportioned
144211,33055,district_apportioned
144212,33055,district_apportioned
144213,33055,district_apportioned
144214,33055,district_apportioned
144216,33055,district_apportioned
144221,33055,district_apportioned
144222,33055,district_apportioned
144223,33055,district_apportioned
144224,18555,district_apportioned
144301,34275,district_apportioned
144302,34275,district_apportioned
144303,34275,district_apportioned
144305,33055,district_apportioned
144306,33055,district_apportioned
144311,34275,district_apportioned
144401,40758,district_apportioned
144402,34275,district_apportioned
144403,34275,district_apportioned
144404,33055,district_apportioned
144405,34275,district_apportioned
144406,33055,district_apportioned
144407,34275,district_apportioned
144408,40758,district_apportioned
144409,34275,district_apportioned
144410,34275,district_apportioned
144411,40758,district_apportioned
144415,18555,district_apportioned
144416,34275,district_apportioned
144417,18555,district_apportioned
144418,34275,district_apportioned
144419,34275,district_apportioned
144421,18555,district_apportioned
144422,18555,district_apportioned
144501,18555,district_apportioned
144502,18555,district_apportioned
144503,18555,district_apportioned
144504,18555,district_apportioned
144505,18555,district_apportioned
144506,18555,district_apportioned
144507,18555,district_apportioned
144508,18555,district_apportioned
144509,18555,district_apportioned
144510,18555,district_apportioned
144511,18555,district_apportioned
144512,18555,district_apportioned
144513,18555,district_apportioned
144514,18555,district_apportioned
144515,18555,district_apportioned
144516,18555,district_apportioned
144517,18555,district_apportioned
144518,18555,district_apportioned
144519,33055,district_apportioned
144520,33055,district_apportioned
144521,18555,district_apportioned
144522,18555,district_apportioned
144523,33055,district_apportioned
144524,18555,district_apportioned
144525,18555,district_apportioned
144526,18555,district_apportioned
144527,18555,district_apportioned
144528,33055,district_apportioned
144529,33055,district_apportioned
144530,33055,district_apportioned
144531,33055,district_apportioned
144532,18555,district_apportioned
144533,18555,district_apportioned
144601,40758,district_apportioned
144602,40758,district_apportioned
144603,40758,district_apportioned
144606,40758,district_apportioned
144620,40758,district_apportioned
144621,40758,district_apportioned
144622,40758,district_apportioned
144623,34275,district_apportioned
144624,40758,district_apportioned
144625,40758,district_apportioned
144626,40758,district_apportioned
144628,40758,district_apportioned
144629,34275,district_apportioned
144630,34275,district_apportioned
144631,40758,district_apportioned
144632,40758,district_apportioned
144633,34275,district_apportioned
144701,34275,district_apportioned
144702,34275,district_apportioned
144703,34275,district_apportioned
144801,34275,district_apportioned
144802,40758,district_apportioned
144803,40758,district_apportioned
144804,40758,district_apportioned
144805,34275,district_apportioned
144806,34275,district_apportioned
144819,40758,district_apportioned
145001,88397,district_apportioned
145022,52544,district_apportioned
145023,52544,district_apportioned
145024,52544,district_apportioned
145025,52544,district_apportioned
145026,52544,district_apportioned
145027,52544,district_apportioned
145029,52544,district_apportioned
145101,52544,district_apportioned
146001,33055,district_apportioned
146021,33055,district_apportioned
146022,33055,district_apportioned
146023,33055,district_apportioned
146024,33055,district_apportioned
146101,33055,district_apportioned
146102,33055,district_apportioned
146103,33055,district_apportioned
146104,33055,district_apportioned
146105,33055,district_apportioned
146106,33055,district_apportioned
146107,33055,district_apportioned
146108,33055,district_apportioned
146109,33055,district_apportioned
146110,33055,district_apportioned
146111,33055,district_apportioned
146112,33055,district_apportioned
146113,33055,district_apportioned
146114,33055,district_apportioned
146115,18555,district_apportioned
146116,33055,district_apportioned
147001,65368,district_apportioned
147002,65368,district_apportioned
147003,65368,district_apportioned
147004,65368,district_apportioned
147005,65368,district_apportioned
147006,65368,district_apportioned
147007,65368,district_apportioned
147021,65368,district_apportioned
147101,65368,district_apportioned
147102,65368,district_apportioned
147103,65368,district_apportioned
147104,65368,district_apportioned
147105,65368,district_apportioned
147111,65368,district_apportioned
147201,65368,district_apportioned
147202,65368,district_apportioned
147203,65368,district_apportioned
147301,150041,district_apportioned
148001,87114,district_apportioned
148002,87114,district_apportioned
148017,87114,district_apportioned
148018,87114,district_apportioned
148019,87114,district_apportioned
148020,87114,district_apportioned
148021,87114,district_apportioned
148022,87114,district_apportioned
148023,87114,district_apportioned
148024,49627,district_apportioned
148025,49627,district_apportioned
148026,87114,district_apportioned
148027,87114,district_apportioned
148028,87114,district_apportioned
148029,87114,district_apportioned
148030,87114,district_apportioned
148031,87114,district_apportioned
148033,87114,district_apportioned
148034,87114,district_apportioned
148035,87114,district_apportioned
148100,49627,district_apportioned
148101,49627,district_apportioned
148102,49627,district_apportioned
148103,49627,district_apportioned
148104,49627,district_apportioned
148105,49627,district_apportioned
148106,49627,district_apportioned
148107,49627,district_apportioned
148108,49627,district_apportioned
148109,49627,district_apportioned
151001,92568,district_apportioned
151002,92568,district_apportioned
151003,92568,district_apportioned
151004,92568,district_apportioned
151005,92568,district_apportioned
151101,64146,district_apportioned
151102,64146,district_apportioned
151103,92568,district_apportioned
151104,92568,district_apportioned
151105,92568,district_apportioned
151106,92568,district_apportioned
151108,87114,district_apportioned
151111,92568,district_apportioned
151201,92568,district_apportioned
151202,68612,district_apportioned
151203,68612,district_apportioned
151204,52544,district_apportioned
151205,68612,district_apportioned
151206,92568,district_apportioned
151207,68612,district_apportioned
151208,68612,district_apportioned
151209,68612,district_apportioned
151210,75158,district_apportioned
151211,75158,district_apportioned
151212,68612,district_apportioned
151213,68612,district_apportioned
151301,92568,district_apportioned
151302,92568,district_apportioned
151401,92568,district_apportioned
151501,64146,district_apportioned
151502,64146,district_apportioned
151503,64146,district_apportioned
151504,64146,district_apportioned
151505,64146,district_apportioned
151506,64146,district_apportioned
151507,64146,district_apportioned
151508,64146,district_apportioned
151509,64146,district_apportioned
151510,64146,district_apportioned
152001,81163,district_apportioned
152002,81163,district_apportioned
152003,81163,district_apportioned
152004,81163,district_apportioned
152005,81163,district_apportioned
152020,52544,district_apportioned
152021,81163,district_apportioned
152022,75158,district_apportioned
152023,81163,district_apportioned
152024,81163,district_apportioned
152025,68612,district_apportioned
152026,75158,district_apportioned
152028,81163,district_apportioned
152031,75158,district_apportioned
152032,75158,district_apportioned
152033,81163,district_apportioned
152101,75158,district_apportioned
152107,75158,district_apportioned
152112,75158,district_apportioned
152113,75158,district_apportioned
152114,75158,district_apportioned
152115,75158,district_apportioned
152116,81163,district_apportioned
152117,81163,district_apportioned
152118,52544,district_apportioned
152121,81163,district_apportioned
152122,81163,district_apportioned
152123,81163,district_apportioned
152124,81163,district_apportioned
152128,81163,district_apportioned
152132,81163,district_apportioned
160001,45889,district_apportioned
160002,45889,district_apportioned
160003,45889,district_apportioned
160004,45889,district_apportioned
160005,45889,district_apportioned
160009,45889,district_apportioned
160011,45889,district_apportioned
160012,45889,district_apportioned
160014,38035,district_apportioned
160015,45889,district_apportioned
160016,45889,district_apportioned
160017,45889,district_apportioned
160018,45889,district_apportioned
160019,45889,district_apportioned
160020,45889,district_apportioned
160022,45889,district_apportioned
160023,45889,district_apportioned
160025,45889,district_apportioned
160030,45889,district_apportioned
160036,45889,district_apportioned
160043,45889,district_apportioned
160047,45889,district_apportioned
160055,45210,district_apportioned
160059,45210,district_apportioned
160062,45210,district_apportioned
160071,45210,district_apportioned
160101,45889,district_apportioned
160102,45889,district_apportioned
160103,45210,district_apportioned
160104,45210,district_apportioned
171001,14281,district_apportioned
171002,14281,district_apportioned
171003,14281,district_apportioned
171004,14281,district_apportioned
171005,14281,district_apportioned
171006,14281,district_apportioned
171007,14281,district_apportioned
171008,14281,district_apportioned
171009,14281,district_apportioned
171010,14281,district_apportioned
171011,14281,district_apportioned
171012,14281,district_apportioned
171013,14281,district_apportioned
171014,14281,district_apportioned
171015,14281,district_apportioned
171018,14281,district_apportioned
171019,14281,district_apportioned
171102,20726,district_apportioned
171103,14281,district_apportioned
171201,14281,district_apportioned
171202,14281,district_apportioned
171203,14281,district_apportioned
171204,14281,district_apportioned
171205,14281,district_apportioned
171206,14281,district_apportioned
171207,14281,district_apportioned
171208,14281,district_apportioned
171209,14281,district_apportioned
171210,14281,district_apportioned
171211,14281,district_apportioned
171212,14281,district_apportioned
171213,14281,district_apportioned
171214,14281,district_apportioned
171215,14281,district_apportioned
171216,14281,district_apportioned
171217,14281,district_apportioned
171218,14281,district_apportioned
171219,14281,district_apportioned
171220,14281,district_apportioned
171221,14281,district_apportioned
171222,14281,district_apportioned
171223,14281,district_apportioned
171224,14281,district_apportioned
171225,14281,district_apportioned
171226,14281,district_apportioned
171301,14281,district_apportioned
172001,14281,district_apportioned
172002,23048,district_apportioned
172021,14281,district_apportioned
172022,14281,district_apportioned
172023,23048,district_apportioned
172024,14281,district_apportioned
172025,23048,district_apportioned
172026,23048,district_apportioned
172027,14281,district_apportioned
172028,14281,district_apportioned
172029,14281,district_apportioned
172030,5608,district_apportioned
172031,14281,district_apportioned
172032,23048,district_apportioned
172033,23048,district_apportioned
172034,14281,district_apportioned
172101,5608,district_apportioned
172102,14281,district_apportioned
172103,5608,district_apportioned
172104,5608,district_apportioned
172105,5608,district_apportioned
172106,5608,district_apportioned
172107,5608,district_apportioned
172108,5608,district_apportioned
172109,5608,district_apportioned
172110,5608,district_apportioned
172111,5608,district_apportioned
172112,5608,district_apportioned
172113,3946,district_apportioned
172114,3946,district_apportioned
172115,5608,district_apportioned
172116,5608,district_apportioned
172117,3946,district_apportioned
172118,5608,district_apportioned
172201,14281,district_apportioned
173001,33116,district_apportioned
173021,33116,district_apportioned
173022,33116,district_apportioned
173023,33116,district_apportioned
173024,33116,district_apportioned
173025,33116,district_apportioned
173026,33116,district_apportioned
173027,33116,district_apportioned
173029,33116,district_apportioned
173030,33116,district_apportioned
173031,33116,district_apportioned
173032,33116,district_apportioned
173101,33116,district_apportioned
173104,33116,district_apportioned
173201,20726,district_apportioned
173202,20726,district_apportioned
173204,20726,district_apportioned
173205,20726,district_apportioned
173206,20726,district_apportioned
173207,20726,district_apportioned
173208,20726,district_apportioned
173209,20726,district_apportioned
173210,20726,district_apportioned
173211,20726,district_apportioned
173212,20726,district_apportioned
173213,20726,district_apportioned
173214,20726,district_apportioned
173215,20726,district_apportioned
173217,14281,district_apportioned
173218,20726,district_apportioned
173220,20726,district_apportioned
