slug,name_en,name_ta,name_hi,short_name,kind,is_government,parent_slug,country_code,state,district,pincode,lat,lng,address,website,contact_phone,contact_email,established_year,accreditation_json,trust,status,merged_into_slug,source_url,last_verified_at
ap-fisheries-university-vijayawada,Andhra Pradesh Fisheries University,,,APFU,state_agri_university,true,,IN,Andhra Pradesh,,,,,"Vijayawada, Andhra Pradesh",https://apfu.ap.gov.in/,,,,,verified,active,,https://apfu.ap.gov.in/,2026-08-16
aau-jorhat,Assam Agricultural University,,,AAU,state_agri_university,true,,IN,Assam,,785013,,,"Jorhat, Assam",https://aau.ac.in/,,,,,verified,active,,https://aau.ac.in/,2026-08-16
avfu-guwahati,Assam Veterinary and Fisheries University,,,AVFU,state_agri_university,true,,IN,Assam,,781022,,,"Khanapara, Guwahati, Assam",https://avfu.ac.in/,,,2024,,verified,active,,https://avfu.ac.in/,2026-08-16
bau-sabour,"Bihar Agricultural University, Sabour",,,BAU Sabour,state_agri_university,true,,IN,Bihar,,813210,,,"Sabour, Bhagalpur, Bihar",https://bausabour.ac.in/,,,2010,"{""naac"": {""grade"": ""A""}}",verified,active,,https://bausabour.ac.in/,2026-08-16
basu-patna,Bihar Animal Sciences University,,,BASU,state_agri_university,true,,IN,Bihar,,800014,,,"Bihar Veterinary College Campus, Patna, Bihar",https://basu.org.in/,,,2016,,verified,active,,https://basu.org.in/,2026-08-16
igkv-raipur,Indira Gandhi Krishi Vishwavidyalaya,,,IGKV,state_agri_university,true,,IN,Chhattisgarh,,,,,"Raipur, Chhattisgarh",https://igkv.ac.in/,,,,,verified,active,,https://igkv.ac.in/web/home.aspx,2026-08-16
cgkv-durg,Dau Shri Vasudev Chandrakar Kamdhenu Vishwavidyalaya,,,CGKV,state_agri_university,true,,IN,Chhattisgarh,,491001,,,"Anjora, Durg, Chhattisgarh",https://cgkvmis.cg.nic.in/,,,2012,,verified,active,,https://cgkvmis.cg.nic.in/,2026-08-16
mguvv-durg,Mahatma Gandhi Udyanikee Evam Vanikee Vishwavidyalaya,,,MGUVV,state_agri_university,true,,IN,Chhattisgarh,,,,,"Sankra-Patan, Durg, Chhattisgarh",https://mguvv.ac.in/,,,2020,,verified,active,,https://mguvv.ac.in/website/about.aspx,2026-08-16
sdau-dantiwada,Sardarkrushinagar Dantiwada Agricultural University,,,SDAU,state_agri_university,true,,IN,Gujarat,,,,,"Sardarkrushinagar, Dantiwada, Gujarat",https://sdau.edu.in/,,,2004,,verified,active,,https://sdau.edu.in/,2026-08-16
aau-anand,Anand Agricultural University,,,AAU Anand,state_agri_university,true,,IN,Gujarat,,,,,"Anand, Gujarat",https://aau.in/,,,2004,"{""icar"": {""accredited"": true}, ""naac"": {""accredited"": true}}",verified,active,,https://aau.in/,2026-08-16
nau-navsari,Navsari Agricultural University,,,NAU,state_agri_university,true,,IN,Gujarat,,396450,,,"Eru Char Rasta, Dandi Road, Navsari, Gujarat",https://nau.in/,,,2004,,verified,active,,https://nau.in/,2026-08-16
jau-junagadh,Junagadh Agricultural University,,,JAU,state_agri_university,true,,IN,Gujarat,,362001,,,"Junagadh, Gujarat",https://jau.in/,,,2004,,verified,active,,https://jau.in/,2026-08-16
kamdhenu-university-gandhinagar,Kamdhenu University,,,KAMDHENU,state_agri_university,true,,IN,Gujarat,,382010,,,"Karmayogi Bhavan, Block-1, Sector-10A, Gandhinagar, Gujarat",https://kamdhenuuni.edu.in/,,,2009,"{""icar"": {""accredited"": true}}",verified,active,,https://kamdhenuuni.edu.in/,2026-08-16
gnfsu-halol,Gujarat Natural Farming Science University,,,GNFSU,state_agri_university,true,,IN,Gujarat,,389350,,,"Nr. New Court, Halol-Pavagadh Road, Halol, Panchmahal, Gujarat",https://goau.gujarat.gov.in/,,,2017,,verified,active,,https://goau.gujarat.gov.in/overview.htm,2026-08-16
ccshau-hisar,Chaudhary Charan Singh Haryana Agricultural University,,,CCS HAU,state_agri_university,true,,IN,Haryana,,125004,,,"Hisar, Haryana",https://hau.ac.in/,,,1970,"{""icar"": {""grade"": ""A+""}}",verified,active,,https://hau.ac.in/,2026-08-16
luvas-hisar,Lala Lajpat Rai University of Veterinary & Animal Sciences,,,LUVAS,state_agri_university,true,,IN,Haryana,,,,,"Gate No. 1, HAU Campus, Hisar, Haryana",https://luvas.edu.in/,,,2010,,verified,active,,https://luvas.edu.in/,2026-08-16
mhu-karnal,Maharana Pratap Horticultural University,,,MHU,state_agri_university,true,,IN,Haryana,,,,,"Uchani, Karnal, Haryana",https://mhu.ac.in/,,,2016,,verified,active,,https://mhu.ac.in/,2026-08-16
cskhpkv-palampur,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,,,CSKHPKV,state_agri_university,true,,IN,Himachal Pradesh,,176062,,,"Palampur, Himachal Pradesh",https://hillagric.ac.in/,,,,"{""icar"": {""accredited"": true}}",verified,active,,https://hillagric.ac.in/,2026-08-16
yspuhf-solan,Dr. Yashwant Singh Parmar University of Horticulture and Forestry,,,YSPUHF,state_agri_university,true,,IN,Himachal Pradesh,,173230,,,"Nauni, Solan, Himachal Pradesh",https://www.uhf.ac.in/,,,1985,,verified,active,,https://www.uhf.ac.in/,2026-08-16
bau-ranchi,Birsa Agricultural University,,,BAU Ranchi,state_agri_university,true,,IN,Jharkhand,,834006,,,"Kanke, Ranchi, Jharkhand",https://bauranchi.org/,,,1981,,verified,active,,https://bauranchi.org/about-bau/,2026-08-16
